"34", "Cinemas ZON Lusomundo Vasco da Gama", "", "35", "16996", "Lisboa", "Lisboa", "NULL", "http://www.zonlusomundo.pt", "https://foursquare.com/v/cinemas-zon-lusomundo-vasco-da-gama/4b0588a7f964a5208ed222e3", "https://twitter.com/ZON_Lusomundo", "https://www.facebook.com/pages/Cinemas-ZON-Lusomundo-Vasco-da-Gama/182401955144813", "182401955144813", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "1998-094", "Av. D. João II Lote 1.05.02", "NULL", "38.76804606", "-9.097307324", "0"
"35", "Agente Exclusivo ZON Águas Santas", "", "271", "224001292", "Águas Santas", "Porto", "NULL", "http://www.zon.pt", "https://foursquare.com/v/agente-exclusivo-zon-aguas-santas/4ece9976c2eee2de8e6872a1", "https://twitter.com/ZON_apoio", "https://www.facebook.com/pages/Agente-Exclusivo-ZON-Aguas-Santas/255473137852904", "255473137852904", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "4425-070", "R. D. Maria Faria 1", "NULL", "41.21014561", "-8.564517349", "0"
"36", "Agente Exclusivo ZON Albufeira", "", "271", "289044761", "Albufeira", "Faro", "NULL", "http://www.zon.pt", "https://foursquare.com/v/agente-exclusivo-zon-albufeira/4ece95c9c2eee2de8e67f3dd", "https://twitter.com/ZON_apoio", "https://www.facebook.com/pages/Agente-Exclusivo-ZON-Albufeira/271780576228824", "271780576228824", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "8200-286", "Quinta da Bela Vista", "NULL", "37.09136306", "-8.243164569", "0"
"37", "Agente Exclusivo ZON Almada", "", "271", "929047722", "Almada", "Setúbal", "NULL", "http://www.zon.pt", "https://foursquare.com/v/agente-exclusivo-zon-almada/4ece8e95c2eee2de8e66f303", "https://twitter.com/ZON_apoio", "https://www.facebook.com/pages/Agente-Exclusivo-ZON-Almada/142908565827495", "142908565827495", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "2800-171", "Praça Movimento das Forças Armadas 7 B", "NULL", "38.68022506", "-9.155849218", "0"
"38", "Agente Exclusivo ZON Alverca", "", "271", "216018694", "Alverca", "Lisboa", "NULL", "http://www.zon.pt", "https://foursquare.com/v/agente-exclusivo-zon-alverca/4ece8f26c2eee2de8e670730", "https://twitter.com/ZON_apoio", "https://www.facebook.com/pages/Agente-Exclusivo-ZON-Alverca/359190680760559", "359190680760559", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "2615-098", "Av. Capitão João A. Meleças 35", "NULL", "38.8975419", "-9.0372473", "0"
"39", "Agente Exclusivo ZON Amadora", "", "271", "214009111", "Amadora", "Lisboa", "NULL", "http://www.zon.pt", "https://foursquare.com/v/agente-exclusivo-zon-amadora/4ece8fdfc2eee2de8e67210a", "https://twitter.com/ZON_apoio", "https://www.facebook.com/pages/Agente-Exclusivo-ZON-Amadora/172315432877410", "172315432877410", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "2700-633", "Praceta Padre Eduardo Ferreira do Amaral 3-B", "NULL", "38.75975572", "-9.238504171", "0"
"40", "Agente Exclusivo ZON Barcelos", "", "271", "253045959", "Barcelos", "Braga", "NULL", "http://www.zon.pt", "https://foursquare.com/v/agente-exclusivo-zon-barcelos/4ece80d7c2eee2de8e650976", "https://twitter.com/ZON_apoio", "https://www.facebook.com/pages/Agente-Exclusivo-ZON-Barcelos/188226061273269", "188226061273269", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "4750-262", "Av. Alcaides de Faria 392", "NULL", "41.53494069", "-8.613967896", "0"
"41", "Agente Exclusivo ZON Bragança", "", "271", "309836276", "Bragança", "Bragança", "NULL", "http://www.zon.pt", "https://foursquare.com/v/agente-exclusivo-zon-braganca/4ecf6cbec2eee2de8e847426", "https://twitter.com/ZON_apoio", "https://www.facebook.com/pages/Agente-Exclusivo-ZON-Braganca/219422704804615", "219422704804615", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "5300-252", "Av. Sá Carneiro 18", "NULL", "41.80572163", "-6.760042459", "0"
"42", "Agente Exclusivo ZON Cacém", "", "271", "216031397", "Cacém", "Lisboa", "NULL", "http://www.zon.pt", "https://foursquare.com/v/agente-exclusivo-zon-cacem/4ece9109c2eee2de8e674b75", "https://twitter.com/ZON_apoio", "https://www.facebook.com/pages/Agente-Exclusivo-ZON-Cacem/120942034695305", "120942034695305", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "2735-068", "R. Bartolomeu Dias,12 B", "NULL", "38.76894112", "-9.298220873", "0"
"43", "Agente Exclusivo ZON Caldas da Rainha", "", "271", "262402781", "Caldas da Rainha", "Leiria", "NULL", "http://www.zon.pt", "https://foursquare.com/v/agente-exclusivo-zon-caldas-da-rainha/4ece99c1c2eee2de8e687d19", "https://twitter.com/ZON_apoio", "https://www.facebook.com/pages/Agente-Exclusivo-ZON-Caldas-da-Rainha/313389975367378", "313389975367378", "NULL", "NULL", "0", "0", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "NULL", "2500-148", "R. Coronel Andrade Mendonça 19", "NULL", "39.40435833", "-9.13629055", "0"
